file_name,caption,question,choice,A,B,C,D,answer,interpretation,class
Untitled.png,He watched the workers on the bridge.,"Someone told you, ""The man watched the workers on the bridge."" From the image I offered to you, Can you infer who is on the bridge?",Select the most suitable option for the question from the following choices.,The man,You,Me,The workers,D,,Complement modifies different part
Untitled 1.png,He watched the workers on the bridge.,"Someone told you, ""The man watched the workers on the bridge."" From the image I offered to you, Can you infer who is on the bridge?",Select the most suitable option for the question from the following choices.,The man,You,Me,The workers,A,,Complement modifies different part
Untitled 2.png,He touched the sculpture with the glove.,"Someone told you, ""He touched the sculpture with the glove."" From the image I offered to you, Can you infer who does take the glove?",Select the most suitable option for the question from the following choices.,He,You,Me,The sculpture,A,,Complement modifies different part
Untitled 3.png,He touched the sculpture with the glove.,"Someone told you, ""He touched the sculpture with the glove."" From the image I offered to you, Can you infer who does take the glove?",Select the most suitable option for the question from the following choices.,He,You,Me,The sculpture,D,,Complement modifies different part
Untitled 4.png,He drawed the pattern with the pencil.,"Someone told you, ""He drawed the pattern with the pencil."" From the image I offered to you, Can you infer which pattern does he draw?",Select the most suitable option for the question from the following choices.,Cow,Horse,Pencil,The person,B,,Complement modifies different part
Untitled 5.png,He drawed the pattern with the pencil.,"Someone told you, ""He drawed the pattern with the pencil."" From the image I offered to you, Can you infer which pattern does he draw?",Select the most suitable option for the question from the following choices.,Cow,Horse,Pencil,The person,C,,Complement modifies different part
Untitled 6.png,The student met the professor with the book.,"Someone told you, ""The student met the professor with the book."" From the image I offered to you, Can you infer who does take the book?",Select the most suitable option for the question from the following choices.,No one,The student,The professor,Me,C,,Complement modifies different part
Untitled 7.png,The student met the professor with the book.,"Someone told you, ""The student met the professor with the book."" From the image I offered to you, Can you infer who does take the book?",Select the most suitable option for the question from the following choices.,No one,The student,The professor,Me,B,,Complement modifies different part
Untitled 8.png,He greeted the woman with a handshake.,"Someone told you, ""He greeted the woman with a handshake."" From the image I offered to you, Can you infer how does he greet to the women?",Select the most suitable option for the question from the following choices.,Handshake,Wave,Bow,Hug,A,,Complement modifies different part
Untitled 9.png,He greeted the woman with a handshake.,"Someone told you, ""He greeted the woman with a handshake."" From the image I offered to you, Can you infer how does he greet to the women?",Select the most suitable option for the question from the following choices.,Handshake,Wave,Bow,Hug,B,,Complement modifies different part
Untitled 10.png,He filled the glass with water.,"Someone told you, ""He filled the glass with water."" From the image I offered to you, Can you infer what does he use to the fill the glass?",Select the most suitable option for the question from the following choices.,Water,Ice,Sand,Small stone,A,,Complement modifies different part
Untitled 11.png,He filled the glass with water.,"Someone told you, ""He filled the glass with water."" From the image I offered to you, Can you infer what does he use to the fill the glass?",Select the most suitable option for the question from the following choices.,Water,Ice,Sand,Small stone,C,,Complement modifies different part
Untitled 12.png,She saw the cat under the tree.,"Someone told you, ""She saw the cat under the tree."" From the image I offered to you, Can you infer who is under the tree?",Select the most suitable option for the question from the following choices.,Cat,Dog,She,No one,C,,Complement modifies different part
Untitled 13.png,She saw the cat under the tree.,"Someone told you, ""She saw the cat under the tree."" From the image I offered to you, Can you infer who is under the tree?",Select the most suitable option for the question from the following choices.,Cat,Dog,She,No one,A,,Complement modifies different part
Untitled 14.png,He repaired the clock on the wall.,"Someone told you, ""He repaired the clock on the wall."" From the image I offered to you, Can you infer where is he?",Select the most suitable option for the question from the following choices.,On the wall,Under the tree,On the desk,Not specific,A,,Complement modifies different part
Untitled 15.png,He repaired the clock on the wall.,"Someone told you, ""He repaired the clock on the wall."" From the image I offered to you, Can you infer where is he?",Select the most suitable option for the question from the following choices.,On the wall,Under the tree,On the desk,Not specific,D,,Complement modifies different part
Untitled 16.png,She entered the room with the key.,"Someone told you, ""She entered the room with the key."" From the image I offered to you, Can you infer where is the key?",Select the most suitable option for the question from the following choices.,On hand,In the room,Not specific,In the pocket,A,,Complement modifies different part
Untitled 17.png,She entered the room with the key.,"Someone told you, ""She entered the room with the key."" From the image I offered to you, Can you infer where is the key?",Select the most suitable option for the question from the following choices.,On hand,In the room,Not specific,In the pocket,B,,Complement modifies different part
